NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3965e-06,7.671e-06,1.446e-05,2.4009e-05,3.7944e-05,5.8449e-05,8.85e-05,0.00013213,0.00019475,0.00028353,0.00040784,0.00057971,0.00081443,0.0011311,0.0015534,0.0021101,0.002836,0.0037733,0.0049725,0.0064949,0.0084157,0.01083,0.013864,0.017688,0.022559,0.028877,0.037338,0.049285,0.067715,0.10084,0.17757,0.42862
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1635e-06,2.2929e-05,4.322e-05,7.1762e-05,0.00011341,0.00017468,0.00026449,0.00039486,0.00058195,0.00084719,0.0012185,0.0017318,0.0024328,0.0033784,0.0046389,0.0063001,0.0084659,0.011261,0.014835,0.019369,0.025084,0.032259,0.041256,0.052572,0.066924,0.085426,0.10994,0.14384,0.19385,0.2747,0.42121,0.71517
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1853e-05,3.7939e-05,7.1508e-05,0.00011873,0.00018761,0.00028896,0.00043746,0.00065303,0.00096234,0.0014007,0.0020143,0.0028624,0.0040201,0.0055812,0.0076614,0.010401,0.013971,0.018574,0.024454,0.031902,0.041274,0.053011,0.067679,0.086037,0.10915,0.13863,0.177,0.22849,0.30059,0.40678,0.57063,0.82533
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6416e-05,5.2543e-05,9.9029e-05,0.0001644,0.00025976,0.00040004,0.00060555,0.00090379,0.0013316,0.0019379,0.0027861,0.003958,0.0055571,0.0077122,0.010582,0.014359,0.019276,0.025607,0.033683,0.043893,0.056707,0.0727,0.092593,0.11733,0.14818,0.18697,0.23641,0.30064,0.38608,0.50237,0.66216,0.87501
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0808e-05,6.6598e-05,0.00012551,0.00020834,0.00032914,0.0005068,0.00076702,0.0011445,0.001686,0.0024529,0.0035254,0.0050066,0.0070265,0.0097469,0.013366,0.018126,0.024313,0.03227,0.042398,0.055173,0.071155,0.09102,0.11559,0.14591,0.18332,0.22966,0.28743,0.36015,0.4526,0.5707,0.72009,0.90107
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.499e-05,7.9978e-05,0.00015071,0.00025014,0.00039511,0.00060827,0.00092038,0.0013731,0.002022,0.0029408,0.0042252,0.0059979,0.0084136,0.011665,0.015986,0.021662,0.029029,0.038488,0.050502,0.065612,0.084451,0.10776,0.13641,0.17148,0.21428,0.26648,0.33024,0.40824,0.50367,0.61975,0.75825,0.91646
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8929e-05,9.2579e-05,0.00017444,0.00028948,0.00045716,0.00070363,0.0010644,0.0015875,0.002337,0.0033977,0.0048796,0.0069236,0.0097069,0.013449,0.018418,0.024937,0.033385,0.044209,0.057926,0.075127,0.096492,0.1228,0.15493,0.19394,0.24104,0.29768,0.36556,0.44659,0.54271,0.65535,0.78434,0.92636
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2599e-05,0.00010432,0.00019653,0.00032609,0.00051487,0.00079226,0.0011981,0.0017864,0.0026289,0.0038205,0.0054844,0.0077778,0.010898,0.015089,0.020648,0.02793,0.037353,0.049401,0.064631,0.083673,0.10723,0.1361,0.17115,0.21337,0.26383,0.32373,0.39436,0.47696,0.57256,0.68149,0.80274,0.93309
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5982e-05,0.00011514,0.00021688,0.00035979,0.00056796,0.00087373,0.001321,0.0019688,0.0028963,0.0042074,0.0060369,0.0085566,0.011982,0.016578,0.022668,0.030632,0.040921,0.054051,0.070607,0.091243,0.11668,0.1477,0.18516,0.22993,0.28298,0.34524,0.41762,0.50088,0.59542,0.70092,0.81602,0.93785
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9068e-05,0.000125,0.00023543,0.00039049,0.00061627,0.0009478,0.0014325,0.0021343,0.0031385,0.0045573,0.0065357,0.0092585,0.012957,0.017914,0.024474,0.033041,0.044091,0.058163,0.075864,0.097863,0.12488,0.15769,0.19709,0.24389,0.29889,0.36282,0.43629,0.51969,0.61297,0.71551,0.82578,0.9413
